EmployeeId,Hours,Rate,Visa,YearToDate
1,2,25,,
1,3,25,,
1,3,25,,
1,4,25,,
1,5,32,,
1,6,32,,
2,2,25,417,47520
2,2,25,417,47520
2,2,25,417,47520
2,2,25,417,47520
2,2,25,417,47520
2,2,28,417,47520
2,2,28,417,47520
2,2,28,417,47520
3,8,36,,
3,8,36,,
3,8,36,,
3,8,36,,
3,8,37.5,,
3,8,37.5,,
3,6,37.5,,
3,6,37.5,,
4,5,34.5,462,23000
4,5,34.5,462,23000
4,5,34.5,462,23000
4,5,34.5,462,23000
4,5,34.5,462,23000
4,5,34.5,462,23000
4,2,34.5,462,23000
5,7,42.5,,
5,6.5,42.5,,
5,7,42.5,,
5,7,42.5,,
5,7,42.5,,
5,3,55.2,,
5,3,55.2,,
